user_id,registered_at,age,gender,height_cm,weight_kg,bmi,activity_level
1,2025-07-03T11:51:06,36,Female,161.2,50.9,19.6,Sedentary
2,2025-07-03T11:51:06,45,Female,159.6,67.2,26.4,Sedentary
3,2025-07-03T11:51:06,34,Female,157.6,67.1,27.0,Light
4,2025-07-03T11:51:06,49,Female,165.2,53.1,19.5,Light
5,2025-07-03T11:51:06,32,Other,173.3,65.4,21.8,Active
6,2025-07-03T11:51:06,19,Male,178.4,85.7,26.9,Moderate
7,2025-07-03T11:51:06,41,Male,187.3,85.5,24.4,Sedentary
8,2025-07-03T11:51:06,34,Male,170.5,84.7,29.1,Moderate
9,2025-07-03T11:51:06,41,Male,176.1,95.8,30.9,Moderate
10,2025-07-03T11:51:06,22,Other,159.7,50.1,19.6,Moderate
11,2025-07-03T11:51:06,31,Other,157.0,55.3,22.4,Light
12,2025-07-03T11:51:06,18,Male,179.8,78.2,24.2,Light
13,2025-07-03T11:51:06,39,Other,159.0,66.2,26.2,Active
14,2025-07-03T11:51:06,48,Other,171.2,71.4,24.4,Moderate
15,2025-07-03T11:51:06,23,Female,160.2,65.7,25.6,Moderate
16,2025-07-03T11:51:06,27,Female,169.8,57.9,20.1,Active
17,2025-07-03T11:51:06,44,Female,158.2,63.6,25.4,Moderate
18,2025-07-03T11:51:06,19,Female,160.5,62.6,24.3,Active
19,2025-07-03T11:51:06,50,Female,167.2,76.1,27.2,Active
20,2025-07-03T11:51:06,37,Male,187.0,71.1,20.3,Sedentary
21,2025-07-03T11:51:06,44,Male,181.3,70.7,21.5,Moderate
22,2025-07-03T11:51:06,45,Female,160.2,73.1,28.5,Moderate
23,2025-07-03T11:51:06,46,Female,158.6,54.5,21.7,Active
24,2025-07-03T11:51:06,62,Female,163.8,71.5,26.6,Light
25,2025-07-03T11:51:06,18,Female,156.5,44.7,18.3,Athlete
26,2025-07-03T11:51:06,39,Other,176.4,78.2,25.1,Moderate
27,2025-07-03T11:51:06,23,Female,166.4,59.2,21.4,Light
28,2025-07-03T11:51:06,28,Other,172.3,83.2,28.0,Sedentary
29,2025-07-03T11:51:06,61,Other,173.0,78.1,26.1,Athlete
30,2025-07-03T11:51:06,48,Other,159.3,63.0,24.8,Sedentary
31,2025-07-03T11:51:06,18,Male,170.0,76.1,26.3,Athlete
32,2025-07-03T11:51:06,67,Male,174.7,86.4,28.3,Sedentary
33,2025-07-03T11:51:06,53,Female,158.9,69.2,27.4,Light
34,2025-07-03T11:51:06,23,Other,163.9,61.8,23.0,Active
35,2025-07-03T11:51:06,35,Male,174.2,67.1,22.1,Moderate
36,2025-07-03T11:51:06,61,Male,179.5,70.3,21.8,Light
37,2025-07-03T11:51:06,63,Other,167.1,81.9,29.3,Moderate
38,2025-07-03T11:51:06,42,Female,163.9,48.2,17.9,Moderate
39,2025-07-03T11:51:06,25,Male,181.5,71.7,21.8,Sedentary
40,2025-07-03T11:51:06,24,Female,163.5,76.9,28.8,Light
41,2025-07-03T11:51:06,66,Other,167.3,82.4,29.4,Moderate
42,2025-07-03T11:51:06,35,Male,186.0,79.2,22.9,Light
43,2025-07-03T11:51:06,52,Female,157.7,65.4,26.3,Moderate
44,2025-07-03T11:51:06,55,Male,168.2,87.1,30.8,Light
45,2025-07-03T11:51:06,36,Other,163.6,86.9,32.5,Active
46,2025-07-03T11:51:06,36,Male,176.4,78.6,25.3,Moderate
