user_id,registered_at,age,gender,height_cm,weight_kg,bmi,activity_level
1,2025-07-03T11:51:06.546781,69,Male,180.8,84.3,25.8,Active
2,2025-07-03T11:51:06.546814,22,Female,171.4,67.3,22.9,Athlete
3,2025-07-03T11:51:06.546832,33,Female,167.6,72.6,25.8,Sedentary
4,2025-07-03T11:51:06.546849,61,Male,175.1,66.6,21.7,Moderate
5,2025-07-03T11:51:06.546864,58,Female,155.2,63.8,26.5,Moderate
6,2025-07-03T11:51:06.546880,21,Other,164.6,88.2,32.6,Moderate
7,2025-07-03T11:51:06.546900,49,Male,183.1,85.1,25.4,Moderate
8,2025-07-03T11:51:06.546923,47,Male,179.5,79.8,24.8,Moderate
9,2025-07-03T11:51:06.546939,22,Other,161.5,71.6,27.5,Light
10,2025-07-03T11:51:06.546954,37,Male,165.9,87.3,31.7,Moderate
11,2025-07-03T11:51:06.546969,23,Male,188.6,86.0,24.2,Athlete
12,2025-07-03T11:51:06.546982,62,Other,180.6,74.5,22.8,Moderate
13,2025-07-03T11:51:06.546995,53,Male,172.1,67.8,22.9,Light
14,2025-07-03T11:51:06.547008,42,Other,166.7,60.6,21.8,Athlete
15,2025-07-03T11:51:06.547020,61,Female,172.6,76.1,25.5,Sedentary
16,2025-07-03T11:51:06.547033,45,Other,168.7,66.7,23.4,Light
17,2025-07-03T11:51:06.547045,65,Female,160.6,65.1,25.2,Sedentary
18,2025-07-03T11:51:06.547058,23,Male,175.3,63.1,20.5,Moderate
19,2025-07-03T11:51:06.547070,54,Male,172.5,58.5,19.7,Moderate
20,2025-07-03T11:51:06.547082,66,Other,171.7,76.1,25.8,Active
21,2025-07-03T11:51:06.547095,23,Other,167.7,75.1,26.7,Sedentary
22,2025-07-03T11:51:06.547107,67,Other,158.7,78.1,31.0,Active
23,2025-07-03T11:51:06.547119,40,Other,175.5,59.8,19.4,Sedentary
24,2025-07-03T11:51:06.547132,25,Other,175.1,62.0,20.2,Moderate
25,2025-07-03T11:51:06.547143,58,Other,167.2,53.6,19.2,Sedentary
26,2025-07-03T11:51:06.547155,36,Other,162.9,72.5,27.3,Sedentary
27,2025-07-03T11:51:06.547168,18,Female,158.9,63.0,25.0,Moderate
28,2025-07-03T11:51:06.547180,47,Female,160.4,58.0,22.5,Sedentary
29,2025-07-03T11:51:06.547192,52,Female,164.2,50.7,18.8,Light
30,2025-07-03T11:51:06.547204,46,Other,166.6,70.1,25.3,Light
31,2025-07-03T11:51:06.547216,46,Other,166.4,96.3,34.8,Light
32,2025-07-03T11:51:06.547228,29,Other,168.4,70.0,24.7,Moderate
33,2025-07-03T11:51:06.547240,27,Other,171.2,62.0,21.2,Active
34,2025-07-03T11:51:06.547253,42,Male,174.8,73.4,24.0,Light
35,2025-07-03T11:51:06.547265,53,Other,168.6,67.7,23.8,Sedentary
36,2025-07-03T11:51:06.547277,68,Other,163.0,60.5,22.8,Moderate
37,2025-07-03T11:51:06.547289,18,Male,189.7,78.6,21.8,Light
38,2025-07-03T11:51:06.547301,30,Other,180.1,81.4,25.1,Sedentary
39,2025-07-03T11:51:06.547313,21,Male,174.6,77.0,25.3,Moderate
40,2025-07-03T11:51:06.547325,44,Other,174.6,67.4,22.1,Athlete
41,2025-07-03T11:51:06.547336,48,Male,176.3,67.3,21.7,Active
42,2025-07-03T11:51:06.547348,63,Female,168.8,55.7,19.5,Sedentary
43,2025-07-03T11:51:06.547361,29,Other,172.1,73.9,25.0,Moderate
44,2025-07-03T11:51:06.547372,24,Male,188.5,72.0,20.3,Light
45,2025-07-03T11:51:06.547384,41,Female,156.6,69.8,28.5,Sedentary
46,2025-07-03T11:51:06.547396,63,Female,162.3,67.3,25.5,Light
47,2025-07-03T11:51:06.547408,24,Male,169.5,75.4,26.2,Light
48,2025-07-03T11:51:06.547421,61,Female,153.9,74.6,31.5,Moderate
49,2025-07-03T11:51:06.547432,58,Other,167.6,66.4,23.6,Sedentary
50,2025-07-03T11:51:06.547444,66,Female,149.6,56.0,25.0,Athlete
51,2025-07-03T11:51:06.547456,49,Female,158.3,57.1,22.8,Moderate
52,2025-07-03T11:51:06.547468,38,Male,163.3,81.4,30.5,Sedentary
